OrderiD,Item_Id,CustomerCode,CountryName,customer_country,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName
1237,9782,RC,AUSTRALIA,RCAUSTRALIA,8,6.25,2100,HAND TUFTED,TUFTED VISCOSE 2/16 5PLY,BOMBAY PRINT [9226],FOREST GREEN,ROUND
1237,9783,RC,AUSTRALIA,RCAUSTRALIA,10,6,2040,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,SILVER,REC
1237,9787,RC,AUSTRALIA,RCAUSTRALIA,10,6,2040,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,GREY,REC
1237,9790,RC,AUSTRALIA,RCAUSTRALIA,10,6,2040,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,WHITE,REC
1237,9793,RC,AUSTRALIA,RCAUSTRALIA,10,6,2040,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,LT.TAUPE,REC
1237,9773,RC,AUSTRALIA,RCAUSTRALIA,6,8.75,1837.5,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,NOUR,BEIGE,REC
1237,9778,RC,AUSTRALIA,RCAUSTRALIA,6,8.75,1837.5,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,NOUR,SILVER,REC
1237,9796,RC,AUSTRALIA,RCAUSTRALIA,6,8.75,1837.5,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,INTRICATE,BEIGE,REC
1237,9800,RC,AUSTRALIA,RCAUSTRALIA,6,8.75,1837.5,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,INTRICATE,SILVER,REC
1237,9774,RC,AUSTRALIA,RCAUSTRALIA,4,12,1680,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,NOUR,BEIGE,REC
1237,9779,RC,AUSTRALIA,RCAUSTRALIA,4,12,1680,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,NOUR,SILVER,REC
1237,9801,RC,AUSTRALIA,RCAUSTRALIA,4,12,1680,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,INTRICATE,SILVER,REC
1237,9802,RC,AUSTRALIA,RCAUSTRALIA,4,12,1680,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,INTRICATE,BEIGE,REC
1237,9784,RC,AUSTRALIA,RCAUSTRALIA,4,12,1632,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,SILVER,REC
1237,9788,RC,AUSTRALIA,RCAUSTRALIA,4,12,1632,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,GREY,REC
1237,9789,RC,AUSTRALIA,RCAUSTRALIA,4,12,1632,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,WHITE,REC
1237,9794,RC,AUSTRALIA,RCAUSTRALIA,4,12,1632,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,LT.TAUPE,REC
1237,9775,RC,AUSTRALIA,RCAUSTRALIA,25,0.09,78.75,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,NOUR,BEIGE,REC
1237,9776,RC,AUSTRALIA,RCAUSTRALIA,25,0.09,78.75,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,NOUR,SILVER,REC
1237,9797,RC,AUSTRALIA,RCAUSTRALIA,25,0.09,78.75,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,INTRICATE,BEIGE,REC
1237,9798,RC,AUSTRALIA,RCAUSTRALIA,25,0.09,78.75,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,INTRICATE,SILVER,REC
1237,9785,RC,AUSTRALIA,RCAUSTRALIA,20,0.06,40.8,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,SILVER,REC
1237,9786,RC,AUSTRALIA,RCAUSTRALIA,20,0.06,40.8,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,GREY,REC
1237,9791,RC,AUSTRALIA,RCAUSTRALIA,20,0.06,40.8,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,WHITE,REC
1237,9792,RC,AUSTRALIA,RCAUSTRALIA,20,0.06,40.8,KNOTTED,KNOTTED 3/25 60C PET YARN,DOUBLE DIAMOND,LT.TAUPE,REC
1244,6188,CC,INDIA,CCINDIA,5,80,0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8915],MULTI,REC
1244,6190,CC,INDIA,CCINDIA,50,36,0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8915],MULTI,ROUND
1245,6868,P-5,USA,P-5USA,12,80,3360,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1245,6867,P-5,USA,P-5USA,15,40,2100,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1245,6866,P-5,USA,P-5USA,15,15,787.5,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1245,6865,P-5,USA,P-5USA,6,20,420,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1245,6864,P-5,USA,P-5USA,18,6,378,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1245,6869,P-5,USA,P-5USA,25,3,262.5,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1247,6864,P-5,USA,P-5USA,3,6,0,HANDWOVEN,SHAGGY 0C FELTED,I-2019,MULTI,REC
1248,2160,P-5,USA,P-5USA,5,40,820,KNOTTED,KNOTTED 3/25 30C MS+30C HS,CITRA [TIKKI],G-1/GRAPHITE,REC
1248,2158,P-5,USA,P-5USA,5,20,410,KNOTTED,KNOTTED 3/25 30C MS+30C HS,CITRA [TIKKI],G-1/GRAPHITE,REC
1249,2191,P-5,USA,P-5USA,20,20,480,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC
1250,9846,PD,BELGIUM,PDBELGIUM,11,7.5,3300,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,REC
1250,9848,PD,BELGIUM,PDBELGIUM,6,10.24,2457.6,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,SQUARE
1250,9847,PD,BELGIUM,PDBELGIUM,1,4.32,172.8,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,REC
1251,9852,PD,BELGIUM,PDBELGIUM,2,8.16,652.8,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,REC
1251,9849,PD,BELGIUM,PDBELGIUM,1,8.16,244.8,KNOTTED,KNOTTED 3/25 SUMAK,PLAIN,NATURAL-59,REC
1251,9851,PD,BELGIUM,PDBELGIUM,1,8.16,244.8,KNOTTED,KNOTTED 3/25 SUMAK,PLAIN,NATURAL BLACK-3,REC
1251,9850,PD,BELGIUM,PDBELGIUM,1,6,180,KNOTTED,KNOTTED 3/25 SUMAK,PLAIN,NATURAL-59,REC
1275,1220,M-1,USA,M-1USA,14,108,4914,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,PLAT/CREAM,REC
1275,1417,M-1,USA,M-1USA,7,180,4914,KNOTTED,KNOTTED 3/25 30C HS,MOROCCAN ZIGZAG,GREY,REC
1275,3313,M-1,USA,M-1USA,8,140,4368,KNOTTED,KNOTTED 3/25 30C HS,DOUBLE DIAMOND,GREY,REC
1275,1208,M-1,USA,M-1USA,2,140,910,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/CREAM,REC
1275,1218,M-1,USA,M-1USA,2,140,910,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,PLAT/CREAM,REC
1275,1154,M-1,USA,M-1USA,3,54,737.1,DOUBLE BACK,D.B. LEFA VISCOSE,PLAIN,PLAT,REC
